red_odds,blue_odds,red_winner,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,title_bout,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_total_rounds_fought,blue_total_title_bouts,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_total_rounds_fought,red_total_title_bouts,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,red_implied_prob,blue_implied_prob,prob_diff,red_win_pct,blue_win_pct,win_pct_diff,red_ko_rate,blue_ko_rate,red_sub_rate,blue_sub_rate,red_finish_rate,blue_finish_rate,red_experience,blue_experience,red_round_per_fight,blue_round_per_fight,red_reach_per_height,blue_reach_per_height,red_days_since_last,blue_days_since_last,red_debut,blue_debut,activity_diff
190,-230,1,420,-5,0.039999999999992,5.07999999999998,0,1,1,0,0,0,0,1,0,-8.5,0.5,4.5,0,0,1,3,1,0,0,3,0,0.0,170.18,180.3,2,0,0,4,0,1.0,175.26,180.34,29,34,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448275862068966,0.696969696969697,-0.35214211076280044,0.0,0.0,0.0,,,,,,,2,1,2.0,3.0,1.028985507246377,1.0594664472911035,,,1,1,
-380,340,1,-720,-7,7.61999999999998,-2.54000000000002,16,5,45,12,5,4,1,0,6,-21.0476,-0.7143,-2.2381,0,0,1,3,0,0,0,0,0,0.0,177.8,177.8,0,1,6,45,12,2.0,175.26,185.42,36,43,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.22727272727272727,0.5643939393939393,0.7619047619047619,,,0.3125,,0.25,,0.5625,,21,0,2.142857142857143,,1.0579710144927537,1.0,,,1,1,
-675,550,1,-1225,2,12.7,2.54000000000002,4,-1,7,6,7,-3,9,0,5,-17.9143,0.9857,1.3714,0,1,1,5,0,1,5,12,0,1.0,185.42,182.88,0,10,10,19,6,1.0,187.96,195.58,34,32,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8709677419354839,0.15384615384615385,0.71712158808933,1.0,0.8571428571428571,0.1428571428571429,0.7,0.0,0.2,0.8333333333333334,0.9,0.8333333333333334,10,7,1.9,1.7142857142857142,1.0405405405405406,0.9863013698630138,,,1,1,
-780,620,0,-1400,3,5.08000000000001,7.62,5,4,27,9,4,3,-1,0,0,7.25,-0.4018,2.6875,0,1,1,5,0,3,3,18,0,0.0,167.64,172.72,0,2,3,45,9,0.0,175.26,177.8,31,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8863636363636364,0.1388888888888889,0.7474747474747474,0.6875,0.8571428571428571,-0.1696428571428571,0.45454545454545453,0.16666666666666666,0.36363636363636365,0.16666666666666666,0.8181818181818182,0.3333333333333333,16,7,2.8125,2.5714285714285716,1.0144927536231885,1.0303030303030303,,,1,1,
-135,125,0,-260,-1,7.61999999999998,12.7,3,0,4,0,1,3,2,0,2,6.8214,0.6071,2.6071,0,0,1,3,0,2,2,12,0,1.0,172.72,177.8,0,4,4,16,0,0.0,185.42,185.42,24,25,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574468085106383,0.4444444444444444,0.1300236406619386,0.7142857142857143,0.5,0.2142857142857143,0.2,0.0,0.6,0.0,0.8,0.0,7,4,2.2857142857142856,3.0,1.0,1.0294117647058825,,,1,1,
220,-260,1,480,-3,1.27000000000001,-5.08000000000001,2,1,10,0,-1,0,0,0,1,-28.1,-0.6,0.4,0,0,1,3,1,0,1,3,0,0.0,180.34,176.53,1,0,2,13,0,0.0,175.26,177.8,25,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.7222222222222222,-0.4097222222222222,0.6,0.5,0.09999999999999998,0.0,1.0,0.0,0.0,0.0,1.0,5,2,2.6,1.5,1.0144927536231885,0.9788732394366197,,,1,1,
350,-440,0,790,-2,0.0,7.62,0,0,-2,0,1,0,0,0,0,42.0,1.0,3.0,0,0,1,3,0,1,1,3,0,0.0,187.96,200.66,0,1,1,1,0,0.0,195.58,200.66,23,25,20,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.8148148148148148,-0.5925925925925926,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,3.0,1.025974025974026,1.0675675675675675,,,1,1,
145,-165,0,310,0,12.7,12.7,0,-1,-4,0,1,0,0,0,0,-1.3333,1.3333,2.5,0,0,1,3,0,2,2,8,0,1.0,175.26,180.34,0,2,2,4,0,0.0,187.96,193.04,25,25,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40816326530612246,0.6226415094339622,-0.21447824412783978,1.0,0.6666666666666666,0.33333333333333337,0.5,0.0,0.5,0.5,1.0,0.5,2,3,2.0,2.6666666666666665,1.027027027027027,1.028985507246377,,,1,1,
140,-160,1,300,-5,5.08000000000001,7.61999999999998,-2,0,-9,1,-1,1,1,-1,-2,47.25,-0.25,0.0,0,0,1,3,1,0,3,11,0,0.0,177.8,185.42,0,1,1,2,1,0.0,185.42,190.5,27,32,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.6153846153846154,-0.19871794871794873,0.5,0.75,-0.25,0.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,2,4,1.0,2.75,1.0273972602739727,1.0428571428571427,,,1,1,
-245,205,1,-450,-6,-12.7,-5.08000000000001,1,-2,1,0,0,0,1,-2,1,-20.5,0.0,0.0,0,0,1,3,2,0,0,2,0,0.0,187.96,195.58,0,1,1,3,0,0.0,182.88,182.88,30,36,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7101449275362319,0.32786885245901637,0.38227607507721556,1.0,0.0,1.0,0.0,,0.0,,0.0,,1,2,3.0,1.0,1.0,1.0405405405405406,,,1,1,
160,-170,0,330,-5,17.78,15.24,4,2,11,1,1,2,-1,0,1,6.7778,-0.7778,0.6667,0,0,1,3,0,2,2,5,0,0.0,182.88,182.88,0,1,3,16,1,0.0,198.12,200.66,27,32,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.6296296296296297,-0.245014245014245,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,0.5,9,3,1.7777777777777777,1.6666666666666667,1.0128205128205128,1.0,,,1,1,
