red_fighter,blue_fighter,red_odds,blue_odds,red_winner,red_return,blue_return,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,fight_date,title_bout,weight_class,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_wins_by_ko,blue_wins_by_submission,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_wins_by_ko,red_wins_by_submission,red_wins,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank
Phillipe Nover,Yui Chul Nam,135,-155,t,2.35,0,290,-2,7.62,0,-1,3,4,1,0,0,-1,3,-1,63,-1.3333,1,0,2015-05-16,f,Featherweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,175.26,175.26,3,0,0,3,7,1,0,0,0,Orthodox,175.26,182.88,31,33,20,20
Mark Eddiva,Levan Makashvili,320,-390,f,0,1.2564,710,3,0,0,1,1,5,0,0,0,0,1,1,-51.5,0,-2,0,2015-05-16,f,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,1,0,1,1,5,0,0,0,1,Orthodox,172.72,172.72,29,26,20,20
Tae Hyun Bang,Jon Tuck,190,-230,f,0,1.4348,420,2,-5.07999999999998,-5.08000000000001,-1,-1,-6,0,0,0,1,-1,0,14.75,1,0.75,0,2015-05-16,f,Lightweight,MALE,3,1,0,1,2,12,0,1,0,2,Orthodox,180.34,185.42,0,1,1,1,6,0,1,0,1,Switch,175.26,180.34,32,30,20,20
Zhang Lipeng,Kajan Johnson,-115,-105,f,0,1.9524,-10,-6,-10.16,0,2,0,6,1,0,0,0,0,2,10,-1,2,0,2015-05-16,f,Lightweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,180.34,190.5,1,0,2,1,9,1,0,0,2,Southpaw,180.34,180.34,25,31,20,20
Li Jingliang,Dhiego Lima,130,-140,t,2.3,0,270,1,-7.62,-5.08000000000001,0,-1,1,-1,0,0,0,0,0,-24.6667,1.3333,0,0,2015-05-16,f,Welterweight,MALE,3,1,0,1,2,5,1,0,0,1,Orthodox,187.96,187.96,1,0,1,1,6,0,0,0,1,Orthodox,182.88,180.34,27,26,20,20
Ning Guangyou,Royston Wee,-140,120,t,1.7143,0,-260,5,-7.62,-7.62,-1,0,-3,1,0,0,-1,0,-1,-18,-1,2.5,0,2015-05-16,f,Bantamweight,MALE,3,0,2,2,0,6,0,0,0,2,Orthodox,170.18,170.18,0,1,1,0,3,1,0,0,1,Southpaw,162.56,162.56,33,28,20,20
Roldan Sangcha-an,Jon Delos Reyes,130,-150,f,0,1.6667,280,-3,-5.08000000000001,-5.07999999999998,0,-1,1,0,0,0,0,-1,0,-25,0,-0.5,0,2015-05-16,f,Flyweight,MALE,3,2,0,0,2,2,0,0,0,0,Orthodox,167.64,170.18,1,0,0,1,3,0,0,0,0,Orthodox,162.56,165.1,24,27,20,20
Nolan Ticman,Yao Zhikui,-270,230,f,0,3.3,-500,2,12.7,2.53999999999999,0,0,0,0,0,0,0,0,0,2,0,0,0,2015-05-16,f,Flyweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,165.1,162.56,1,0,0,1,3,0,0,0,0,Orthodox,167.64,175.26,26,24,20,20
Stipe Miocic,Mark Hunt,-235,195,t,1.4255,0,-430,-9,20.32,15.24,1,-2,-2,-1,-1,0,0,0,-1,-20.0833,0.1111,-0.4722,-1,2015-05-09,f,Heavyweight,MALE,5,1,0,4,4,22,1,4,0,5,Orthodox,177.8,182.88,1,0,3,2,20,0,3,0,6,Orthodox,193.04,203.2,32,41,5,4
Brad Tavares,Robert Whittaker,-135,115,f,0,2.15,-250,3,2.54000000000002,2.53999999999999,4,1,15,-1,-1,0,-1,0,3,11.0909,0,-0.7727,-6,2015-05-09,f,Middleweight,MALE,3,0,2,2,2,15,1,2,0,4,Orthodox,182.88,185.42,0,1,5,3,30,0,1,0,8,Orthodox,185.42,187.96,27,24,20,14
Anthony Perosh,Sean O'Connell,-130,120,f,0,2.2,-250,11,2.53999999999999,5.08000000000001,4,3,9,0,1,3,0,0,2,49.1333,0.1667,-0.9,0,2015-05-09,f,Light Heavyweight,MALE,3,0,1,1,2,7,0,1,0,1,Orthodox,185.42,187.96,0,1,3,5,16,0,2,3,5,Orthodox,190.5,190.5,42,31,20,20
Jake Matthews,James Vick,-190,165,f,0,2.65,-355,-8,-7.62,-10.16,-1,0,-2,0,0,1,-1,0,-1,-4,-0.6667,-2.5,0,2015-05-09,f,Lightweight,MALE,3,0,3,3,0,7,0,0,1,3,Orthodox,190.5,193.04,0,2,2,0,5,0,0,2,2,Orthodox,180.34,185.42,20,28,20,20
Hatsu Hioki,Dan Hooker,-290,245,f,0,3.45,-535,6,-12.7,-2.53999999999999,2,3,16,0,-1,0,0,0,1,24.0714,-0.7143,-2.2857,0,2015-05-09,f,Featherweight,MALE,3,1,0,1,1,4,0,1,0,1,Switch,182.88,190.5,1,0,2,4,20,0,0,0,3,Orthodox,180.34,177.8,31,25,20,20
