red_fighter,blue_fighter,red_odds,blue_odds,red_winner,red_return,blue_return,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,fight_date,title_bout,weight_class,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_wins_by_ko,blue_wins_by_submission,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_wins_by_ko,red_wins_by_submission,red_wins,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank
Dominick Reyes,Ryan Spann,-195,165,f,0,2.65,-360,1,-5.07999999999998,-2.54000000000002,-1,0,4,2,1,-2,-1,3,1,-1.62,1.2,0.99,-5,2022-11-12,f,Light Heavyweight,MALE,3,0,1,5,3,15,0,2,3,7,Orthodox,195.58,200.66,3,0,6,3,19,2,3,1,6,Southpaw,193.04,195.58,32,31,12,7
Erin Blanchfield,Molly McCann,-425,340,t,1.2353,0,-765,-9,10.16,0,-3,-3,-16,0,-2,1,0,0,0,-0.08,-0.5,-0.21,-3,2022-11-12,f,Women's Flyweight,FEMALE,3,0,3,3,3,24,0,2,0,6,Orthodox,162.56,157.48,0,3,3,0,8,0,0,1,3,Orthodox,162.56,167.64,23,32,15,12
Andre Petroski,Wellington Turman,-175,150,t,1.5714,0,-325,5,2.53999999999999,0,0,-3,-6,0,1,1,1,0,1,0.23,-1.2,-2.52,0,2022-11-12,f,Middleweight,MALE,3,0,2,2,3,13,0,0,1,3,Orthodox,182.88,182.88,0,3,3,0,7,0,1,2,3,Switch,182.88,185.42,31,26,20,20
Matt Frevola,Ottman Azaitar,140,-165,t,2.4,0,305,0,0,2.53999999999999,2,3,15,0,-1,1,-1,0,0,2.02,-0.9,-2.59,0,2022-11-12,f,Lightweight,MALE,3,0,2,2,0,2,0,2,0,2,Switch,172.72,180.34,0,1,2,3,17,0,1,1,4,Orthodox,175.26,180.34,32,32,20,20
Karolina Kowalkiewicz,Silvana Gomez Juarez,-110,-110,t,1.9091,0,0,0,-2.53999999999999,0,5,5,31,1,-1,1,0,0,2,-1.45,-0.2,-0.34,0,2022-11-12,f,Women's Strawweight,FEMALE,3,0,1,1,2,3,0,1,0,1,Orthodox,160.02,165.1,0,1,3,7,34,1,0,1,6,Orthodox,160.02,162.56,37,37,20,20
Michael Trizano,SeungWoo Choi,160,-190,t,2.6,0,350,0,-7.62,-2.53999999999999,0,-1,-1,1,-1,0,0,0,-1,-0.12,-0.5,0.5,0,2022-11-12,f,Featherweight,MALE,3,2,0,3,4,18,0,1,0,3,Orthodox,182.88,187.96,2,0,2,3,17,1,0,0,3,Orthodox,180.34,180.34,30,30,20,20
Julio Arce,Montel Jackson,170,-200,f,0,1.5,370,3,-12.7,-7.62,0,1,4,0,1,0,-1,0,0,-0.97,0,2.95,0,2022-11-12,f,Bantamweight,MALE,3,0,2,3,2,20,0,2,1,6,Southpaw,177.8,190.5,0,1,3,3,24,0,3,1,6,Southpaw,170.18,177.8,33,30,20,20
Carlos Ulberg,Nicolae Negumereanu,-135,115,t,1.7407,0,-250,4,-2.53999999999999,10.16,-1,0,-5,0,0,0,-2,0,-2,-3.83,-0.3,0.07,0,2022-11-12,f,Light Heavyweight,MALE,3,0,4,4,1,12,0,2,0,4,Orthodox,182.88,198.12,0,2,2,1,7,0,2,0,3,Orthodox,193.04,195.58,32,28,20,20
Marina Rodriguez,Amanda Lemos,-245,205,f,0,3.05,-450,0,0,5.07999999999998,1,-1,17,-1,0,-2,3,0,-1,-1.66,0.6,0.67,-4,2022-11-05,f,Women's Strawweight,FEMALE,5,0,1,5,2,14,1,2,2,6,Southpaw,162.56,165.1,0,4,4,1,31,0,2,0,7,Orthodox,167.64,165.1,35,35,7,3
Neil Magny,Daniel Rodriguez,-115,-105,t,1.8696,0,-10,0,15.24,5.08000000000001,11,7,52,0,3,0,-4,1,3,3.98,-0.1,-1.6,-1,2022-11-05,f,Welterweight,MALE,3,0,4,4,1,22,0,2,1,8,Southpaw,185.42,187.96,1,0,7,8,74,0,5,1,19,Orthodox,190.5,203.2,35,35,14,13
Darrick Minner,Shayilan Nuerdanbieke,330,-410,f,0,1.2439,740,4,0,-2.53999999999999,0,3,3,0,0,1,-2,2,0,-0.68,-2.5,0.9,0,2022-11-05,f,Featherweight,MALE,3,0,2,2,1,9,0,0,0,2,Orthodox,172.72,175.26,2,0,2,4,12,0,0,1,2,Orthodox,170.18,175.26,32,28,20,20
Tagir Ulanbekov,Nate Maness,-245,205,t,1.4082,0,-450,0,-5.07999999999998,-7.62,-1,0,-1,0,-1,-1,0,0,-1,-0.08,-1.4,-3.03,-5,2022-11-05,f,Flyweight,MALE,3,1,0,3,1,10,0,1,1,3,Orthodox,177.8,182.88,1,0,2,1,9,0,0,0,2,Southpaw,170.18,177.8,31,31,20,15
Grant Dawson,Mark Madsen,-200,170,t,1.5,0,-370,-10,0,5.08000000000001,3,0,11,0,0,4,3,0,2,0.58,-1.3,-0.75,0,2022-11-05,f,Lightweight,MALE,3,0,4,4,0,10,0,1,0,4,Orthodox,172.72,182.88,0,7,6,0,21,0,1,4,7,Switch,177.8,182.88,28,38,20,20
Miranda Maverick,Shanna Young,-850,600,t,1.1176,0,-1450,-6,0,-10.16,2,-1,3,0,0,1,0,0,1,-0.41,0.3,-2.43,0,2022-11-05,f,Women's Flyweight,FEMALE,3,0,1,1,3,9,0,1,0,1,Orthodox,170.18,165.1,0,1,2,2,12,0,1,1,3,Southpaw,160.02,165.1,25,31,20,20
Mario Bautista,Benito Lopez,-365,300,t,1.274,0,-665,1,-10.16,-2.54000000000002,1,1,2,0,1,1,1,0,0,-1.3,-0.7,-2.25,0,2022-11-05,f,Bantamweight,MALE,3,0,1,2,1,10,0,0,0,3,Switch,177.8,185.42,0,2,2,2,12,0,1,1,4,Switch,175.26,175.26,29,28,20,20
Polyana Viana,Jinh Yu Frey,-145,125,t,1.6897,0,-270,-7,5.08000000000001,5.07999999999998,1,1,-2,0,0,3,0,0,0,-0.02,-1.6,0.2,0,2022-11-05,f,Women's Strawweight,FEMALE,3,1,0,2,3,15,0,0,0,2,Southpaw,160.02,165.1,1,0,2,4,13,0,0,3,3,Orthodox,165.1,170.18,30,37,20,20
Liudvik Sholinian,Johnny Munoz,225,-265,f,0,1.3774,490,3,0,2.54000000000002,-1,-1,-3,0,0,-1,0,0,-1,-0.06,1.8,2.4,0,2022-11-05,f,Bantamweight,MALE,3,1,0,1,2,6,0,0,1,1,Orthodox,175.26,180.34,1,0,0,1,3,0,0,0,0,Orthodox,177.8,180.34,32,29,20,20
Carlos Candelario,Jake Hadley,225,-265,f,0,1.3774,490,5,-5.08000000000001,2.53999999999999,0,1,4,0,0,-1,0,1,0,-0.21,1.1,-2.08,0,2022-11-05,f,Flyweight,MALE,3,1,0,1,1,5,0,0,1,1,Southpaw,170.18,177.8,2,0,1,2,9,0,0,0,1,Southpaw,172.72,172.72,31,26,20,20
Tamires Vidal,Ramona Pascual,-125,105,t,1.8,0,-230,-10,5.08000000000001,-2.54000000000002,0,-2,-6,0,0,0,0,-2,0,0.67,-1,1.81,0,2022-11-05,f,Women's Bantamweight,FEMALE,3,2,0,0,2,6,0,0,0,0,Southpaw,170.18,167.64,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,24,34,20,20
Calvin Kattar,Arnold Allen,105,-125,f,0,1.8,230,6,5.07999999999998,7.62,-2,4,11,0,3,-2,-9,1,-7,-1.31,0.2,0.54,-1,2022-10-29,f,Featherweight,MALE,5,0,9,9,0,25,0,1,2,9,Southpaw,172.72,177.8,1,0,2,4,36,0,4,0,7,Orthodox,180.34,182.88,34,28,6,5
Tim Means,Max Griffin,160,-190,f,0,1.5263,350,2,-2.53999999999999,7.62,8,3,21,0,2,2,0,0,1,-1.16,0.1,0.29,0,2022-10-29,f,Welterweight,MALE,3,1,0,3,7,35,0,3,0,6,Orthodox,180.34,193.04,1,0,4,10,56,0,5,2,14,Orthodox,187.96,190.5,38,36,20,20
Waldo Cortes-Acosta,Jared Vanderaa,-210,180,t,1.4762,0,-390,1,-5.07999999999998,0,-1,-5,-14,0,0,0,1,-4,0,-0.68,-0.2,-0.37,0,2022-10-29,f,Heavyweight,MALE,3,4,0,1,5,15,0,1,0,2,Orthodox,193.04,203.2,0,1,1,0,1,0,1,0,1,Orthodox,193.04,198.12,31,30,20,20
Josh Fremd,Tresean Gore,-155,135,f,0,2.35,-290,0,2.53999999999999,10.16,0,-1,-1,0,0,0,0,-1,0,0.52,0.1,2.38,0,2022-10-29,f,Middleweight,MALE,3,2,0,0,2,4,0,0,0,0,Switch,182.88,190.5,1,0,0,1,3,0,0,0,0,Orthodox,193.04,193.04,28,28,20,20
Dustin Jacoby,Khalil Rountree Jr.,-175,150,f,0,2.5,-325,2,0,5.08000000000001,1,-3,2,-1,-2,0,5,0,1,-1.66,0.1,-0.36,-7,2022-10-29,f,Light Heavyweight,MALE,3,0,2,3,5,22,1,5,0,6,Southpaw,185.42,193.04,0,7,4,2,24,0,3,0,7,Orthodox,190.5,193.04,34,32,20,13
Phil Hawes,Roman Dolidze,-180,155,f,0,2.55,-335,-1,2.54000000000002,-5.08000000000001,1,1,2,0,1,0,-1,0,2,-2.2,0.9,-0.85,0,2022-10-29,f,Middleweight,MALE,3,0,2,2,1,11,0,2,0,4,Orthodox,187.96,193.04,0,1,4,2,13,0,3,0,5,Orthodox,182.88,195.58,33,34,20,20
Andrei Arlovski,Marcos Rogerio de Lima,200,-240,f,0,1.4167,440,6,5.08000000000001,5.08000000000001,17,11,72,5,6,1,4,-1,4,-0.12,0.3,1.03,0,2022-10-29,f,Heavyweight,MALE,3,1,0,2,7,25,0,5,1,8,Orthodox,185.42,190.5,0,4,6,18,97,5,11,2,25,Orthodox,190.5,195.58,43,37,20,20
Joseph Holmes,JunYong Park,170,-200,f,0,1.5,370,-4,17.78,15.24,-2,-1,-10,0,0,2,0,0,-2,1.65,0.3,0.34,0,2022-10-29,f,Middleweight,MALE,3,0,1,3,2,16,0,0,0,4,Orthodox,177.8,185.42,0,1,1,1,6,0,0,2,2,Orthodox,193.04,203.2,27,31,20,20
Chase Hooper,Steve Garcia,-320,265,f,0,3.65,-585,-7,-2.53999999999999,2.53999999999999,2,0,9,0,0,1,1,-1,1,-0.08,-1.7,-0.18,0,2022-10-29,f,Featherweight,MALE,3,1,0,1,2,7,0,2,0,2,Southpaw,182.88,190.5,0,1,2,2,16,0,2,1,4,Southpaw,185.42,187.96,23,30,20,20
Cody Durden,Carlos Mota,135,-155,t,2.35,0,290,4,-5.07999999999998,7.62,2,2,9,0,1,0,1,0,1,-2.39,0.2,-4.6,0,2022-10-29,f,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,162.56,175.26,0,1,1,2,9,0,1,0,2,Southpaw,170.18,170.18,31,27,20,20
Christian Rodriguez,Joshua Weems,-425,340,t,1.2353,0,-765,-4,5.08000000000001,-2.53999999999999,1,0,5,0,0,0,0,0,1,1.6,-1.1,3.7,0,2022-10-29,f,Bantamweight,MALE,3,1,0,0,1,1,0,0,0,0,Orthodox,172.72,175.26,1,0,1,1,6,0,0,0,1,Orthodox,170.18,180.34,24,28,20,20
Charles Oliveira,Islam Makhachev,175,-205,f,0,1.4878,380,3,10.16,0,10,7,31,-1,1,11,1,0,1,-0.74,-1.7,1.02,-3,2022-10-22,t,Lightweight,MALE,5,0,10,10,1,26,3,2,5,11,Southpaw,177.8,177.8,0,11,11,8,57,2,3,16,21,Orthodox,177.8,187.96,33,30,4,1
Aljamain Sterling,TJ Dillashaw,-180,155,t,1.5556,0,-335,-3,10.16,2.54000000000002,0,-1,-3,-4,-6,3,6,0,3,0.48,0.1,-0.75,-2,2022-10-22,t,Bantamweight,MALE,5,0,1,4,4,48,8,7,1,13,Orthodox,167.64,170.18,0,7,7,3,45,4,1,4,13,Orthodox,170.18,180.34,33,36,2,0
Petr Yan,Sean O'Malley,-285,240,f,0,3.4,-525,2,-12.7,-10.16,0,1,15,2,-2,0,-3,1,2,2.49,0.2,-1.38,-10,2022-10-22,f,Bantamweight,MALE,3,0,3,5,1,19,2,6,0,8,Switch,180.34,182.88,1,0,7,2,34,4,4,0,8,Switch,170.18,170.18,29,27,11,1
Beneil Dariush,Mateusz Gamrot,210,-250,t,3.1,0,460,2,5.07999999999998,0,11,3,29,0,1,4,3,0,3,-0.55,-0.8,3.35,-3,2022-10-22,f,Lightweight,MALE,3,0,4,4,1,13,0,2,1,4,Southpaw,177.8,177.8,0,7,7,4,42,0,3,5,15,Southpaw,177.8,182.88,33,31,9,6
Katlyn Chookagian,Manon Fiorot,190,-225,f,0,1.4444,415,1,7.62,5.07999999999998,7,4,33,1,-2,0,0,0,0,1.68,-0.3,0.86,14,2022-10-22,f,Women's Flyweight,FEMALE,3,0,4,4,0,10,0,2,0,4,Orthodox,170.18,165.1,0,4,4,4,43,1,0,0,11,Orthodox,175.26,172.72,33,32,6,20
Belal Muhammad,Sean Brady,115,-135,t,2.15,0,250,5,0,2.53999999999999,7,3,33,1,1,-1,2,0,2,-0.62,1,1.01,-3,2022-10-22,f,Welterweight,MALE,3,0,5,5,0,14,0,0,2,5,Orthodox,177.8,182.88,0,7,7,3,47,1,1,1,12,Orthodox,180.34,182.88,34,29,8,5
Makhmud Muradov,Caio Borralho,180,-210,f,0,1.4762,390,3,0,2.54000000000002,-1,1,1,0,1,0,-4,1,-1,-0.6,0.3,-1.47,0,2022-10-22,f,Middleweight,MALE,3,0,4,4,0,10,0,1,0,4,Southpaw,185.42,190.5,1,0,3,1,11,0,2,0,3,Orthodox,187.96,190.5,32,29,20,20
Volkan Oezdemir,Nikita Krylov,160,-190,f,0,1.5263,350,3,-5.08000000000001,-2.53999999999999,-3,-2,-2,1,-1,-4,0,0,-2,-0.41,1.3,1.73,-2,2022-10-22,f,Light Heavyweight,MALE,3,0,1,5,7,28,0,4,4,9,Orthodox,190.5,195.58,0,1,3,5,26,1,3,0,6,Orthodox,187.96,190.5,33,30,10,8
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,-140,120,t,1.7143,0,-260,3,2.53999999999999,-5.07999999999998,0,0,0,0,0,-1,1,-1,0,-0.98,0.5,0.1,0,2022-10-22,f,Welterweight,MALE,3,1,0,1,1,4,0,0,1,1,Switch,185.42,180.34,0,1,1,1,4,0,0,0,1,Orthodox,180.34,182.88,32,29,20,20
Armen Petrosyan,AJ Dobson,-215,185,t,1.4651,0,-400,1,-12.7,5.08000000000001,1,0,3,0,1,-1,0,0,1,-1.4,0.3,1.45,0,2022-10-22,f,Middleweight,MALE,3,1,0,1,1,4,0,0,1,1,Orthodox,185.42,193.04,1,0,2,1,7,0,1,0,2,Orthodox,190.5,180.34,31,30,20,20
Muhammad Mokaev,Malcolm Gordon,-1150,750,t,1.087,0,-1900,-10,-2.53999999999999,0,0,-2,-2,0,-1,1,0,0,0,0.89,0.2,-3.57,0,2022-10-22,f,Flyweight,MALE,3,0,2,2,2,6,0,1,0,2,Switch,170.18,180.34,0,2,2,0,4,0,0,1,2,Orthodox,170.18,177.8,22,32,20,20
Karol Rosa,Lina Lansberg,-425,340,t,1.2353,0,-765,-13,5.08000000000001,-5.08000000000001,0,-4,-10,0,0,0,0,-1,2,-3.8,0.1,-0.68,-3,2022-10-22,f,Women's Bantamweight,FEMALE,3,2,0,2,5,25,0,0,0,4,Orthodox,170.18,165.1,1,0,4,1,15,0,0,0,4,Orthodox,165.1,170.18,27,40,12,9
Alexa Grasso,Viviane Araujo,-210,180,t,1.4762,0,-390,-6,-5.08000000000001,2.53999999999999,1,1,2,2,-1,1,2,0,1,-0.56,0,1.35,-15,2022-10-15,f,Women's Flyweight,FEMALE,5,0,1,2,2,21,0,1,0,5,Orthodox,162.56,172.72,0,3,3,3,23,2,0,1,6,Orthodox,165.1,167.64,29,35,20,5
Cub Swanson,Jonathan Martinez,190,-225,f,0,1.4444,415,10,0,0,11,8,45,0,4,2,-2,0,3,-0.13,-0.3,-0.63,0,2022-10-15,f,Bantamweight,MALE,3,0,3,3,3,29,0,2,0,7,Southpaw,172.72,177.8,0,1,6,11,74,0,6,2,18,Orthodox,172.72,177.8,38,28,20,20
Jordan Wright,Dusko Todorovic,190,-225,f,0,1.4444,415,3,7.62,2.54000000000002,-1,0,-4,0,0,0,0,1,-1,1.44,-0.4,-1.13,0,2022-10-15,f,Middleweight,MALE,3,1,0,2,3,11,0,2,0,3,Orthodox,185.42,187.96,2,0,1,3,7,0,2,0,2,Orthodox,187.96,195.58,31,28,20,20
Raphael Assuncao,Victor Henry,350,-435,t,4.5,0,785,5,-5.08000000000001,-5.08000000000001,13,8,55,0,2,1,-1,4,6,5.12,0.3,-1.65,0,2022-10-15,f,Bantamweight,MALE,3,0,1,1,0,3,0,0,0,1,Switch,170.18,172.72,4,0,7,8,58,0,2,1,14,Orthodox,165.1,167.64,40,35,20,20
Misha Cirkunov,Alonzo Menifield,160,-190,f,0,1.5263,350,1,2.54000000000002,7.62,-1,3,1,0,-4,4,-1,3,0,-0.09,-1.5,-3.52,0,2022-10-15,f,Light Heavyweight,MALE,3,0,1,4,3,17,0,5,1,7,Orthodox,182.88,193.04,3,0,4,6,18,0,1,5,6,Orthodox,190.5,195.58,35,34,20,20
Mana Martinez,Brandon Davis,-145,125,t,1.6897,0,-270,-6,-5.07999999999998,0,-2,-4,-16,0,0,-1,0,-2,0,0.35,-0.4,0.02,0,2022-10-15,f,Bantamweight,MALE,3,3,0,1,6,23,0,0,1,3,Orthodox,177.8,182.88,1,0,1,2,7,0,0,0,1,Orthodox,177.8,177.8,26,32,20,20
Nick Maximov,Jacob Malkoun,-140,120,f,0,2.2,-260,-3,7.62,7.62,1,-1,0,0,0,0,0,0,1,1.93,0.2,2.46,0,2022-10-15,f,Middleweight,MALE,3,1,0,2,2,10,0,0,0,2,Orthodox,175.26,185.42,1,0,3,1,10,0,0,0,3,Southpaw,182.88,193.04,24,27,20,20
Joanderson Brito,Lucas Alexander,-380,310,t,1.2632,0,-690,0,-2.53999999999999,-7.62,2,1,7,0,1,0,1,0,1,1.88,-0.6,-3.11,0,2022-10-15,f,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,0,1,1,1,7,0,1,0,2,Orthodox,172.72,182.88,27,27,20,20
Piera Rodriguez,Sam Hughes,-180,155,t,1.5556,0,-335,-1,-2.53999999999999,-5.07999999999998,0,-3,-7,0,-1,0,0,0,0,0.69,0,-2.26,0,2022-10-15,f,Women's Strawweight,FEMALE,3,0,2,2,3,13,0,1,0,2,Orthodox,165.1,162.56,0,2,2,0,6,0,0,0,2,Orthodox,160.02,160.02,29,30,20,20
Tatsuro Taira,CJ Vergara,-275,230,t,1.3636,0,-505,-9,5.08000000000001,2.54000000000002,-1,-1,-4,0,-1,0,0,0,0,1.68,-1.9,-2.35,0,2022-10-15,f,Flyweight,MALE,3,0,1,1,1,7,0,1,0,2,Orthodox,167.64,172.72,0,1,1,0,3,0,0,0,1,Orthodox,170.18,177.8,22,31,20,20
Mike Jackson,Pete Rodriguez,500,-675,f,0,1.1481,1175,12,7.62,12.7,1,0,4,0,0,0,1,-1,1,4.79,0,-0.71,0,2022-10-15,f,Welterweight,MALE,3,1,0,0,1,1,0,0,0,0,Switch,175.26,180.34,0,1,1,1,5,0,0,0,1,Orthodox,187.96,187.96,37,25,20,20
Mackenzie Dern,Yan Xiaonan,-260,220,f,0,3.2,-480,-4,0,-2.53999999999999,1,0,-2,-1,0,4,1,-2,-2,1.54,-1.2,0.12,-1,2022-10-01,f,Women's Strawweight,FEMALE,5,2,0,6,2,23,1,0,0,6,Orthodox,165.1,160.02,0,1,4,2,21,0,0,4,7,Orthodox,162.56,160.02,29,33,6,5
Randy Brown,Francisco Trinaldo,-325,270,t,1.3077,0,-595,-12,20.32,15.24,-9,-3,-33,0,-3,1,1,0,-4,-1.25,-0.1,0.26,0,2022-10-01,f,Welterweight,MALE,3,0,2,7,7,65,0,5,2,18,Southpaw,175.26,177.8,0,3,3,4,32,0,2,3,9,Orthodox,190.5,198.12,32,44,20,20
Raoni Barcelos,Trevin Jones,-260,220,t,1.3846,0,-480,3,-7.62,0,4,0,9,0,1,1,0,0,4,-3.09,-0.4,-1.24,0,2022-10-01,f,Bantamweight,MALE,3,2,0,1,2,10,0,1,0,1,Southpaw,170.18,177.8,2,0,5,2,19,0,2,1,5,Orthodox,170.18,170.18,35,32,20,20
Sodiq Yusuff,Don Shainis,-1050,700,t,1.0952,0,-1750,-3,10.16,7.62,6,1,17,0,2,0,1,0,5,-2.24,1.5,0.69,-8,2022-10-01,f,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,0,1,5,1,17,0,2,0,6,Orthodox,175.26,180.34,29,32,20,12
Mike Davis,Viacheslav Borshchev,-190,160,t,1.5263,0,-350,-1,7.62,2.53999999999999,0,1,5,0,-1,0,2,-1,0,0.05,-0.4,-2.77,0,2022-10-01,f,Lightweight,MALE,3,1,0,2,1,6,0,2,0,2,Orthodox,180.34,175.26,0,2,2,2,11,0,1,0,2,Orthodox,182.88,182.88,29,30,20,20
John Castaneda,Daniel Santos,-180,155,f,0,2.55,-335,3,10.16,-2.54000000000002,3,0,7,0,1,1,2,-1,2,-0.41,-0.1,0.11,0,2022-10-01,f,Catch Weight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,170.18,170.18,0,2,2,1,10,0,1,1,3,Switch,167.64,180.34,30,27,20,20
Ilir Latifi,Aleksei Oleinik,-195,165,t,1.5128,0,-360,-5,-17.78,-10.16,-1,-1,2,0,2,-5,0,0,1,1.24,1.6,-0.29,0,2022-10-01,f,Heavyweight,MALE,3,0,1,2,7,26,0,1,7,9,Orthodox,187.96,203.2,0,1,3,6,28,0,3,2,8,Orthodox,177.8,185.42,40,45,20,20
Joaquim Silva,Jesse Ronson,-140,120,t,1.7143,0,-260,-3,-2.54000000000002,-5.08000000000001,4,-1,4,0,2,0,0,-2,3,-0.12,-0.3,0.07,0,2022-10-01,f,Lightweight,MALE,3,4,0,0,4,12,0,0,0,0,Southpaw,177.8,177.8,2,0,3,3,16,0,2,0,4,Southpaw,172.72,175.26,33,36,20,20
Krzysztof Jotko,Brendan Allen,-125,105,f,0,2.05,-230,7,5.08000000000001,-2.54000000000002,3,3,24,0,0,-4,0,0,1,1,1.3,0.41,0,2022-10-01,f,Middleweight,MALE,3,0,2,4,2,20,0,1,4,8,Orthodox,187.96,190.5,0,2,5,5,44,0,1,0,11,Southpaw,185.42,195.58,33,26,20,20
Julija Stoliarenko,Chelsea Chandler,-125,105,f,0,2.05,-230,-2,-5.08000000000001,-2.53999999999999,1,4,13,0,0,1,1,0,1,1.04,-1.7,-0.02,0,2022-10-01,f,Catch Weight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,172.72,172.72,0,1,1,4,13,0,0,1,1,Orthodox,170.18,167.64,29,31,20,20
Guido Cannetti,Randy Costa,235,-280,t,3.35,0,515,14,-12.7,-7.62,1,2,8,0,-1,0,1,-2,-1,3.09,-0.4,-2.27,0,2022-10-01,f,Bantamweight,MALE,3,2,0,2,3,8,0,2,0,2,Switch,175.26,185.42,0,1,1,5,16,0,1,0,3,Southpaw,167.64,172.72,42,28,20,20
Cory Sandhagen,Song Yadong,-205,175,t,1.4878,0,-380,6,7.62,7.62,-1,2,3,1,0,0,-3,2,1,-0.53,-0.1,-0.53,-6,2022-09-17,f,Bantamweight,MALE,5,0,3,4,1,22,0,4,1,8,Orthodox,172.72,170.18,2,0,5,3,25,1,4,1,7,Switch,180.34,177.8,30,24,10,4
Chidi Njokuani,Gregory Rodrigues,-130,110,f,0,2.1,-240,3,12.7,0,0,-2,-5,0,1,0,2,0,1,1.43,0.2,2.74,0,2022-09-17,f,Middleweight,MALE,3,0,1,2,2,10,0,2,0,3,Orthodox,190.5,190.5,0,3,3,0,5,0,3,0,3,Orthodox,190.5,203.2,33,30,20,20
Andre Fili,Bill Algeo,-135,115,t,1.7407,0,-250,-1,2.54000000000002,-2.53999999999999,6,5,26,0,2,0,-2,2,0,2,-0.1,-1.12,0,2022-09-17,f,Featherweight,MALE,3,0,2,2,3,17,0,1,0,3,Switch,182.88,185.42,2,0,2,8,43,0,3,0,9,Orthodox,180.34,187.96,32,33,20,20
Joe Pyfer,Alen Amedovski,-520,410,t,1.1923,0,-930,-8,2.53999999999999,10.16,1,-2,-2,0,1,0,1,-3,1,-2.73,-0.9,-1.45,0,2022-09-17,f,Middleweight,MALE,3,3,0,0,3,5,0,0,0,0,Orthodox,177.8,187.96,0,1,1,1,3,0,1,0,1,Orthodox,187.96,190.5,26,34,20,20
Tanner Boser,Rodrigo Nascimento,-180,155,f,0,2.55,-335,2,-12.7,0,2,2,11,0,3,-2,1,-1,0,-0.65,0.6,1.23,0,2022-09-17,f,Heavyweight,MALE,3,1,0,2,1,6,0,0,2,2,Orthodox,187.96,203.2,0,1,2,3,17,0,3,0,4,Orthodox,187.96,190.5,31,29,20,20
Anthony Hernandez,Marc-Andre Barriault,-215,185,t,1.4651,0,-400,-4,2.53999999999999,-2.53999999999999,0,-2,-8,0,-1,1,1,0,0,1.82,-2.9,-6.41,0,2022-09-17,f,Middleweight,MALE,3,0,1,2,4,19,0,1,1,3,Orthodox,185.42,187.96,0,2,2,2,11,0,0,2,3,Orthodox,182.88,190.5,28,32,20,20
Damon Jackson,Pat Sabatini,185,-215,t,2.85,0,400,3,2.53999999999999,7.62,0,2,8,0,0,1,-1,0,-1,-0.88,0.7,1.39,0,2022-09-17,f,Featherweight,MALE,3,0,4,4,0,10,0,0,1,4,Orthodox,172.72,177.8,0,3,3,2,18,0,0,2,4,Switch,180.34,180.34,34,31,20,20
Trevin Giles,Louis Cosce,-205,175,t,1.4878,0,-380,3,7.62,7.62,4,3,19,0,2,0,0,1,2,1.04,0.2,-0.15,0,2022-09-17,f,Welterweight,MALE,3,1,0,1,1,4,0,1,0,1,Orthodox,175.26,180.34,2,0,3,4,23,0,3,0,5,Orthodox,182.88,187.96,30,27,20,20
Denise Gomes,Loma Lookboonmee,170,-200,f,0,1.5,370,-4,5.08000000000001,2.53999999999999,-2,-2,-12,0,0,0,1,-1,-1,-0.38,-0.8,1.02,0,2022-09-17,f,Women's Strawweight,FEMALE,3,1,0,2,2,15,0,0,0,3,Orthodox,154.94,154.94,0,1,1,0,3,0,0,0,1,Orthodox,157.48,160.02,22,26,20,20
Trey Ogden,Daniel Zellhuber,330,-410,t,4.3,0,740,9,-12.7,-5.07999999999998,-1,1,0,0,0,0,-1,1,-1,2.79,-0.6,-1.82,0,2022-09-17,f,Lightweight,MALE,3,0,1,1,0,3,0,0,0,1,Switch,185.42,195.58,1,0,0,1,3,0,0,0,0,Orthodox,180.34,182.88,32,23,20,20
Mariya Agapova,Gillian Robertson,135,-155,f,0,1.6452,290,-2,12.7,2.53999999999999,-5,-2,-14,0,-1,-3,0,0,-1,-1.6,0.3,1.93,0,2022-09-17,f,Women's Flyweight,FEMALE,3,1,0,2,5,25,0,1,5,7,Orthodox,165.1,160.02,1,0,1,3,11,0,0,2,2,Southpaw,167.64,172.72,25,27,20,20
